date,total_sales,total_orders
2018-06-02,32048.3,142
2018-06-03,39234.85,192
2018-06-04,40467.77,225
2018-06-05,55183.54,200
2018-06-06,44999.21,227
2018-06-07,52537.72,223
2018-06-08,42031.68,198
2018-06-09,40891.5,172
2018-06-10,36157.42,193
2018-06-11,76270.14,294
2018-06-12,57250.2,246
2018-06-13,53609.94,259
2018-06-14,38063.21,212
2018-06-15,37314.78,186
2018-06-16,32244.55,165
2018-06-17,25318.22,152
2018-06-18,51176.81,246
2018-06-19,50831.47,231
2018-06-20,45892.07,217
2018-06-21,39979.85,234
2018-06-22,35509.02,179
2018-06-23,25543.8,151
2018-06-24,33656.35,199
2018-06-25,53833.76,241
2018-06-26,52740.68,243
2018-06-27,39617.93,215
2018-06-28,49568.37,243
2018-06-29,30030.41,174
2018-06-30,21277.47,124
2018-07-01,39158.69,161
2018-07-02,48104.96,195
2018-07-03,41207.09,216
2018-07-04,50103.64,256
2018-07-05,49744.71,195
2018-07-06,24405.399999999998,121
2018-07-07,14291.8,91
2018-07-08,22526.93,122
2018-07-09,25022.49,148
2018-07-10,26745.47,134
2018-07-11,27844.81,127
2018-07-12,41910.57,124
2018-07-13,39422.29,168
2018-07-14,28780.170000000002,148
2018-07-15,59075.52,152
2018-07-16,42826.11,245
2018-07-17,41688.17,221
2018-07-18,63997.87,307
2018-07-19,55468.22,253
2018-07-20,46992.88,250
2018-07-21,29128.88,187
2018-07-22,48132.91,215
2018-07-23,60286.71,307
2018-07-24,53799.27,271
2018-07-25,69513.13,268
2018-07-26,55103.47,247
2018-07-27,40824.04,189
2018-07-28,44997.65,176
2018-07-29,40472.22,188
2018-07-30,52778.05,288
2018-07-31,75067.36,322
2018-08-01,59116.83,311
2018-08-02,54797.26,302
2018-08-03,58045.93,314
2018-08-04,48190.46,245
2018-08-05,51253.92,276
2018-08-06,89915.05,372
2018-08-07,92721.85,370
2018-08-08,71733.77,316
2018-08-09,56319.39,289
2018-08-10,44868.43,256
2018-08-11,37553.18,188
2018-08-12,52302.26,197
2018-08-13,55565.83,292
2018-08-14,58834.48,316
2018-08-15,60042.090000000004,288
2018-08-16,50492.31,320
2018-08-17,48773.76,257
2018-08-18,31372.66,198
2018-08-19,34945.68,204
2018-08-20,48805.71,256
2018-08-21,34734.67,243
2018-08-22,29591.82,187
2018-08-23,22532.82,144
2018-08-24,14464.49,99
2018-08-25,12768.89,69
2018-08-26,10496.35,73
2018-08-27,6839.13,67
2018-08-28,6108.19,44
2018-08-29,4881.79,14
2018-08-30,705.04,4
2018-08-31,63.89,1
2018-09-03,458.64,4
2018-09-06,2443.2000000000003,3
2018-09-10,51.17,1
2018-09-11,258.67,1
2018-09-12,84.58,1
2018-09-13,414.04,1
2018-09-17,84.58,1
2018-09-20,191.46,1
2018-09-25,221.54,1
2018-09-26,94.63,1
2018-09-29,137.03,1
2018-10-01,80.38,1
2018-10-03,197.55,1
2018-10-16,222.03,1
2018-10-17,89.71,1
